userid,itemid,zscore
195,241,-0.1538461538461538
185,301,-0.1032608695652174
21,376,-0.587890625
243,50,-0.4128151260504201
165,345,-0.6375
297,473,-0.0078740157480314
114,264,-0.4836956521739131
252,464,0.2551546391752577
304,450,-0.1024774774774774
5,85,-0.1587677725118483
61,256,-0.3254310344827587
285,1013,0.3220486111111111
199,221,0.2418981481481481
209,39,-0.2651515151515151
223,28,0.00177304964539
302,784,-0.0914256198347107
121,386,0.2540983606557376
193,273,-0.240983606557377
290,1041,0.0785472972972972
233,1183,-0.2807291666666667
118,391,0.0124309392265193
166,485,0.1557971014492754
298,143,0.1339285714285714
290,117,-0.4214527027027027
307,0,0.0604534005037783
94,545,-0.3543165467625899
37,94,0.3202479338842975
101,767,-0.1539351851851852
62,276,0.2204301075268817
159,233,0.2708333333333333
49,245,-0.1354166666666666
300,97,0.1181818181818181
224,192,-0.1296296296296295
289,87,0.1616666666666666
96,193,-0.2896825396825397
156,273,0.053921568627451
180,1080,-0.1229885057471264
277,602,0.1847826086956521
275,795,-0.6163127413127413
6,31,0.0086848635235732
9,15,-0.0516304347826086
283,303,0.1117021276595744
200,978,-0.2577720207253886
275,563,-0.1163127413127412
286,326,0.221774193548387
245,200,0.517948717948718
241,1136,0.1374999999999999
248,240,0.2236024844720496
98,3,0.3621323529411765
177,331,-0.1703296703296702
250,99,0.0519480519480519
80,431,-0.3232758620689655
259,321,-0.0104166666666667
24,180,0.2371794871794872
58,195,0.2663612565445026
71,678,-0.4543795620437956
86,383,0.0521327014218009
289,142,0.4116666666666666
41,422,0.3183060109289617
291,514,-0.0564516129032257
114,19,-0.233695652173913
19,287,-0.5260416666666666
200,218,0.2422279792746113
12,525,-0.0243710691823899
245,918,0.267948717948718
137,25,0.1813725490196078
166,231,-0.5942028985507246
59,426,0.2283653846153845
56,303,0.375
222,273,0.2428571428571428
188,511,0.0053475935828877
242,14,-0.1604938271604938
91,1048,-0.5612113402061856
245,415,0.0179487179487179
193,164,0.2590163934426229
240,689,-0.3586956521739131
177,247,0.0796703296703297
253,1443,-0.0125786163522012
292,4,-0.0077319587628865
126,228,0.2173913043478261
224,236,0.1203703703703704
298,228,-0.1160714285714286
224,479,0.1203703703703704
275,53,-0.1163127413127412
290,143,0.3285472972972972
221,365,0.2377260981912144
266,517,0.2662162162162161
41,402,-0.1816939890710383
10,110,0.1339779005524861
94,624,0.14568345323741
7,337,0.0508474576271186
161,24,0.1011904761904761
86,1015,0.0521327014218009
278,153,0.4331797235023041
144,274,-0.3338607594936709
118,1152,0.2624309392265194
61,497,0.1745689655172413
61,381,-0.0754310344827586
27,208,0.069620253164557
134,22,0.1545454545454545
31,293,-0.0792682926829267
89,381,0.1941666666666666
285,207,0.0720486111111111
292,684,-0.0077319587628865
215,143,0.049618320610687
165,327,0.3625
249,495,0.0532786885245901
270,131,0.3543165467625899
159,173,0.2708333333333333
264,117,0.108695652173913
197,497,-0.0690607734806629
41,95,0.3183060109289617
167,150,0.4166666666666666
109,306,0.2387218045112782
57,143,0.0405844155844156
89,647,-0.0558333333333334
270,345,0.1043165467625899
61,20,-0.0754310344827586
278,831,-0.0668202764976958
236,513,-0.0364583333333332
93,788,0.0856249999999999
127,484,-0.1657608695652174
297,316,-0.0078740157480314
43,194,0.3377483443708609
263,199,0.1958333333333333
193,384,-0.240983606557377
71,194,0.2956204379562044
221,749,0.4877260981912145
249,263,-0.1967213114754098
40,264,-0.1923076923076923
223,244,0.00177304964539
81,134,-0.0178571428571429
261,1146,0.2078124999999999
292,470,-0.0077319587628865
215,657,-0.2003816793893129
249,139,-0.1967213114754098
58,22,0.2663612565445026
285,378,0.3220486111111111
243,814,0.0871848739495798
6,478,0.0086848635235732
173,367,-0.6454802259887006
86,273,0.0521327014218009
193,1210,-0.240983606557377
81,1133,-0.2678571428571429
12,835,-0.2743710691823899
12,271,0.22562893081761
243,755,-0.4128151260504201
304,426,0.3975225225225225
94,786,-0.3543165467625899
42,13,-0.4276018099547511
298,954,0.1339285714285714
56,418,-0.125
83,404,-0.213235294117647
268,503,0.2476780185758513
298,110,-0.1160714285714286
193,465,0.2590163934426229
159,134,0.0208333333333333
98,267,-0.1378676470588234
9,485,-0.0516304347826086
258,116,0.0326086956521739
84,426,-0.1345486111111111
302,918,0.1585743801652892
212,272,0.1924603174603174
120,513,-0.1520270270270269
89,97,0.1941666666666666
48,558,-0.1709302325581395
41,793,-0.1816939890710383
154,322,-0.159090909090909
67,116,0.2426470588235294
171,176,0.2037037037037037
18,3,0.1125
267,230,0.2644817073170732
4,1,0.0314285714285714
304,116,-0.3524774774774775
43,293,0.0877483443708608
42,136,0.0723981900452488
278,1335,-0.5668202764976958
79,465,0.3103448275862068
253,163,0.2374213836477987
297,280,-0.2578740157480315
278,1239,-0.5668202764976958
65,297,0.131578947368421
17,442,-0.2202166064981949
267,1034,-0.2355182926829268
98,78,0.1121323529411765
12,97,0.22562893081761
25,257,0.0140186915887849
6,454,0.0086848635235732
221,754,0.2377260981912144
199,672,0.2418981481481481
118,327,0.0124309392265193
212,171,0.1924603174603174
275,321,-0.1163127413127412
93,1216,-0.164375
129,378,0.0035410764872521
37,327,0.0702479338842975
159,718,-0.2291666666666666
292,1266,-0.0077319587628865
25,929,-0.235981308411215
129,215,0.0035410764872521
91,1078,-0.0612113402061855
255,451,0.002415458937198
0,60,0.0974264705882352
71,47,0.0456204379562044
55,754,-0.160427807486631
12,359,0.22562893081761
14,404,-0.21875
91,76,-0.0612113402061855
206,475,-0.3076086956521738
291,173,0.1935483870967742
231,482,0.2741935483870967
