Dataset,Search algorithm,$k_{max}$,\# clusters,$k$-means,Proposed
blood,knn,$22.2 \pm 20.31$,$49.6 \pm 43.63$,$1.5078 \pm 0.35$,$1.3411 \pm 0.34$
blood,kdtree,$22.2 \pm 20.31$,$50.0 \pm 44.05$,$1.5073 \pm 0.36$,$1.346 \pm 0.34$
blood,annoy,$22.2 \pm 20.31$,$49.4 \pm 43.4$,$1.5027 \pm 0.35$,$1.351 \pm 0.33$
blood,hnsw,$22.2 \pm 20.31$,$41.5 \pm 37.1$,$1.3616 \pm 0.18$,$1.3311 \pm 0.2$
bcw,knn,$27.6 \pm 10.07$,$11.6 \pm 4.84$,$1.6961 \pm 0.07$,$\mathbf{0.7283 \pm 0.17}$
bcw,kdtree,$27.6 \pm 10.07$,$11.6 \pm 4.84$,$1.6961 \pm 0.07$,$\mathbf{0.7283 \pm 0.17}$
bcw,annoy,$27.6 \pm 10.07$,$10.8 \pm 4.52$,$1.7063 \pm 0.07$,$\mathbf{0.7208 \pm 0.18}$
bcw,hnsw,$27.6 \pm 10.07$,$11.5 \pm 4.86$,$1.6828 \pm 0.06$,$\mathbf{0.7101 \pm 0.16}$
ccrf,knn,$10.4 \pm 9.38$,$103.7 \pm 55.54$,$1.387 \pm 0.22$,$1.2132 \pm 0.16$
ccrf,kdtree,$10.4 \pm 9.38$,$103.8 \pm 55.38$,$1.3933 \pm 0.22$,$1.2253 \pm 0.15$
ccrf,annoy,$10.4 \pm 9.38$,$101.0 \pm 55.23$,$1.4002 \pm 0.26$,$1.2729 \pm 0.19$
ccrf,hnsw,$10.4 \pm 9.38$,$80.5 \pm 40.69$,$1.5365 \pm 0.33$,$\mathbf{1.1294 \pm 0.14}$
diabetic,knn,$21.0 \pm 11.2$,$55.0 \pm 65.76$,$1.851 \pm 0.42$,$\mathbf{1.5394 \pm 0.22}$
diabetic,kdtree,$21.0 \pm 11.2$,$55.0 \pm 65.76$,$1.851 \pm 0.42$,$\mathbf{1.5394 \pm 0.22}$
diabetic,annoy,$21.0 \pm 11.2$,$54.2 \pm 63.75$,$1.9404 \pm 0.52$,$\mathbf{1.4777 \pm 0.18}$
diabetic,hnsw,$21.0 \pm 11.2$,$41.1 \pm 47.43$,$1.9752 \pm 0.43$,$\mathbf{1.4271 \pm 0.16}$
google_reviews,knn,$5.0 \pm 0.0$,$1089.7 \pm 15.17$,$0.953 \pm 0.01$,$\mathbf{0.8374 \pm 0.01}$
google_reviews,kdtree,$5.0 \pm 0.0$,$1089.7 \pm 15.17$,$0.953 \pm 0.01$,$\mathbf{0.8374 \pm 0.01}$
google_reviews,annoy,$5.0 \pm 0.0$,$1100.4 \pm 15.56$,$0.9466 \pm 0.01$,$\mathbf{0.8313 \pm 0.01}$
google_reviews,hnsw,$5.0 \pm 0.0$,$1082.2 \pm 17.18$,$0.9556 \pm 0.01$,$\mathbf{0.8245 \pm 0.01}$
frogs,knn,$23.0 \pm 16.41$,$641.9 \pm 654.31$,$1.6863 \pm 0.24$,$\mathbf{1.2498 \pm 0.11}$
frogs,kdtree,$23.0 \pm 16.41$,$641.9 \pm 654.31$,$1.6863 \pm 0.24$,$\mathbf{1.2498 \pm 0.11}$
frogs,annoy,$23.0 \pm 16.41$,$609.3 \pm 622.61$,$1.6829 \pm 0.22$,$\mathbf{1.2697 \pm 0.11}$
frogs,hnsw,$23.0 \pm 16.41$,$612.1 \pm 622.56$,$1.6904 \pm 0.22$,$\mathbf{1.2164 \pm 0.11}$
mm,knn,$21.0 \pm 17.61$,$86.1 \pm 71.47$,$1.7338 \pm 0.66$,$1.8428 \pm 0.88$
mm,kdtree,$21.0 \pm 17.61$,$86.5 \pm 71.92$,$1.7694 \pm 0.71$,$2.2085 \pm 1.58$
mm,annoy,$21.0 \pm 17.61$,$85.8 \pm 71.66$,$1.8576 \pm 0.81$,$1.9699 \pm 0.97$
mm,hnsw,$21.0 \pm 17.61$,$67.8 \pm 58.35$,$2.8646 \pm 2.28$,$1.5335 \pm 0.25$
ml1m,knn,$39.4 \pm 13.23$,$493.5 \pm 696.0$,$2.0468 \pm 0.38$,$\mathbf{1.2627 \pm 0.15}$
ml1m,kdtree,$39.4 \pm 13.23$,$493.5 \pm 696.0$,$2.0468 \pm 0.38$,$\mathbf{1.2627 \pm 0.15}$
ml1m,annoy,$39.4 \pm 13.23$,$419.1 \pm 604.66$,$2.1637 \pm 0.4$,$\mathbf{1.3204 \pm 0.16}$
ml1m,hnsw,$39.4 \pm 13.23$,$496.0 \pm 694.43$,$2.0203 \pm 0.37$,$\mathbf{1.2424 \pm 0.13}$
